# a non event (not tot)
921 1000 7007 0
922 1000 7007 0
923 1000 7007 0
# a tot event
921 1001 5007 9
922 1001 5007 9
923 1001 5007 9
# a tot event between seconds
921 1001 999999 9
922 1001 999996 9
923 1002 000002 9
# a non tot event between seconds
939 1003 000014 0
940 1003 000011 0
941 1003 000007 0
942 1003 000003 0
943 1003 000000 0
944 1002 999996 0
945 1002 999993 0
946 1002 999989 0
947 1002 999986 0
977 1003 000021 0
978 1003 000018 0
979 1003 000014 0
980 1003 000011 0
981 1003 000007 0
982 1003 000003 0
983 1003 000000 0
# a big horizontal event
939 1004 1014 0
940 1004 1011 0
941 1004 1007 0
942 1004 1003 0
943 1004 1000 0
944 1004 996 0
945 1004 993 0
946 1004 989 0
947 1004 986 0
977 1004 1021 0
978 1004 1018 0
979 1004 1014 0
980 1004 1011 0
981 1004 1007 0
982 1004 1003 0
983 1004 1000 0
984 1004 996 0
985 1004 993 0
986 1004 989 0
987 1004 986 0
988 1004 982 0
989 1004 978 0
1017 1004 1021 0
1018 1004 1018 0
1019 1004 1014 0
1020 1004 1011 0
1021 1004 1007 0
1022 1004 1003 0
1023 1004 1000 0
1024 1004 996 0
1025 1004 993 0
1026 1004 989 0
1027 1004 986 0
1028 1004 982 0
1029 1004 978 0
1058 1004 1018 0
1059 1004 1014 0
1060 1004 1011 0
1061 1004 1007 0
1062 1004 1003 0
1063 1004 1000 0
1064 1004 996 0
1065 1004 993 0
1066 1004 989 0
1067 1004 986 0
1068 1004 982 0
1100 1004 1011 0
1102 1004 1003 0
1104 1004 996 0
1106 1004 989 0
# a tot event at end of second
921 1005 999999 9
922 1005 999996 9
923 1005 999992 9
# one at begin
921 1007 9 9
922 1007 6 9
923 1007 2 9
